file_name,file_code,parameter,orig_variable_code,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del,Metadati_fattori
Key ADNI tables merged into one table,ADNIMERGE,ID,PTID,PTID,<class 'str'>,"011_S_0002, 011_S_0003, 022_S_0004, 011_S_0005, 100_S_0006",,11458.0,0.0,ADNI4,False,
Key ADNI tables merged into one table,ADNIMERGE,ID,RID,RID,<class 'numpy.int64'>,,,11458.0,0.0,ADNI4,False,
Key ADNI tables merged into one table,ADNIMERGE,Cohort,COLPROT,COHORT,<class 'str'>,"ADNI1, ADNI2, ADNIGO, ADNI3",,11458.0,0.0,ADNI4,False,
Key ADNI tables merged into one table,ADNIMERGE,visit,VISCODE,VISCODE,<class 'numpy.int64'>,,,11458.0,0.0,ADNI4,False,
Key ADNI tables merged into one table,ADNIMERGE,visit,EXAMDATE,EXAMDATE,<class 'datetime.date'>,,,11458.0,0.0,ADNI4,False,
Key ADNI tables merged into one table,ADNIMERGE,Sex,PTGENDER,GENDER,<class 'numpy.int64'>,"1, 0",,11458.0,0.0,ADNI4,False,cofattore
Key ADNI tables merged into one table,ADNIMERGE,Education,PTEDUCAT,EDUCAT,<class 'numpy.int64'>,,,11458.0,0.0,ADNI4,False,cofattore
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,PTETHCAT,ETHNICITY,<class 'numpy.int64'>,"0, 1, <NA>",,11406.0,52.0,ADNI4,False,cofattore
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,PTRACCAT,RACE,<class 'numpy.int64'>,"5, 0, 4, 2, 1, <NA>, 3",,11432.0,26.0,ADNI4,False,cofattore
Key ADNI tables merged into one table,ADNIMERGE,Marry,PTMARRY,MARRY,<class 'numpy.int64'>,"1, 2, 3, 0, <NA>",,11411.0,47.0,ADNI4,False,cofattore
Key ADNI tables merged into one table,ADNIMERGE,APOE,APOE4,APOE4,<class 'numpy.float64'>,"0.0, 1.0, 2.0, nan",,11176.0,282.0,ADNI4,False,cofattore
Key ADNI tables merged into one table,ADNIMERGE,Abeta,PIB,PIB,<class 'numpy.float64'>,,,222.0,11236.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Key ADNI tables merged into one table,ADNIMERGE,Abeta,AV45,AV45,<class 'numpy.float64'>,,,3055.0,8403.0,"ADNI1, ADNI4",True,predittore
Key ADNI tables merged into one table,ADNIMERGE,CDR,CDRSB,CDRSB,<class 'numpy.float64'>,,,11309.0,149.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,ADAS,ADAS11,ADAS11,<class 'numpy.float64'>,,,11356.0,102.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,RAVLT ,RAVLT_immediate,RAVLT_immediate,<class 'numpy.float64'>,,,11273.0,185.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,FAQ,FAQ,FAQ,<class 'numpy.float64'>,,,11289.0,169.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,MOCA,MOCA,MOCA,<class 'numpy.float64'>,,,7355.0,4103.0,"ADNI1, ADNI4",True,predittore
Key ADNI tables merged into one table,ADNIMERGE,Volume,Ventricles,Ventricles,<class 'numpy.float64'>,,,8727.0,2731.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,Volume,Hippocampus,Hippocampus,<class 'numpy.float64'>,,,8137.0,3321.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,Volume,Entorhinal,Entorhinal,<class 'numpy.float64'>,,,7746.0,3712.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,Volume,Fusiform,Fusiform,<class 'numpy.float64'>,,,7746.0,3712.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,Volume,MidTemp,MidTemp,<class 'numpy.float64'>,,,7746.0,3712.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,Volume,ICV,ICV,<class 'numpy.float64'>,,,9306.0,2152.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,DX,DX,<class 'numpy.int64'>,"0, 2, 1",,11458.0,0.0,ADNI4,False,predittore
Key ADNI tables merged into one table,ADNIMERGE,Age,AGE_bl,AGE_bl,<class 'numpy.float64'>,,,11451.0,7.0,ADNI4,False,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,ID,PTID,PTID,<class 'str'>,"011_S_0003, 022_S_0004, 011_S_0005, 011_S_0008, 011_S_0010",,1245.0,0.0,"ADNI3, ADNI4",False,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,ID,RID,RID,<class 'numpy.int64'>,,,1245.0,0.0,"ADNI3, ADNI4",False,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Cohort,PHASE,COHORT,<class 'str'>,"ADNI1, ADNIGO, ADNI2",,1245.0,0.0,"ADNI3, ADNI4",False,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,VISCODE2,VISCODE,<class 'numpy.int64'>,"12, 60, 24, 0, 84, 48, 72, 36",,1245.0,0.0,"ADNI3, ADNI4",False,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Education,PHC_Education,EDUCAT,<class 'numpy.int64'>,,,1245.0,0.0,"ADNI3, ADNI4",False,cofattore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,PHC_Ethnicity,ETHNICITY,<class 'numpy.int64'>,"0, 1, <NA>",,1238.0,7.0,"ADNI3, ADNI4",False,cofattore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,PHC_Race,RACE,<class 'numpy.float64'>,"5.0, 4.0, 2.0, nan, 1.0, 3.0",,1230.0,15.0,"ADNI3, ADNI4",False,cofattore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Sex,PHC_Sex,GENDER,<class 'numpy.int64'>,"1, 0",,1245.0,0.0,"ADNI3, ADNI4",False,cofattore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_Tau,PHC_Tau,<class 'numpy.float64'>,,,1212.0,33.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Visit,PHC_Visit,PHC_Visit,<class 'numpy.float64'>,,,1243.0,2.0,"ADNI3, ADNI4",False,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_pTau,PHC_pTau,<class 'numpy.float64'>,,,1238.0,7.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,PHC_Diagnosis,DX,<class 'numpy.int64'>,"2, 1, 0",,1245.0,0.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_AB42,PHC_AB42,<class 'numpy.float64'>,,,1242.0,3.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Abeta,PHC_SCeNS_AB42_Score,PHC_SCeNS_AB42_Score,<class 'numpy.float64'>,,,1236.0,9.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_SCeNS_pTau_Score,PHC_SCeNS_pTau_Score,<class 'numpy.float64'>,,,1236.0,9.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,AT,AT_class,AT_class,<class 'numpy.float64'>,"2.0, 0.0, 3.0, 1.0, nan",,1236.0,9.0,"ADNI3, ADNI4",False,predittore
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Age,PHC_Age_Biomarker,AGE,<class 'numpy.float64'>,,,1245.0,0.0,"ADNI3, ADNI4",False,cofattore
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,ID,RID,RID,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,visit,VISCODE,VISCODE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Age,BIRTHYR,BIRTHYR,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CDRGLOB,CDRGLOB,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CDRSUM,CDRSUM,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CDR_BASELINE,CDR_BASELINE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Other,CORT,CORT,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,Visit,CSFDATE,CSFDATE,,,,,,,,
The DIAN-ADNI Comparison Study,ADNI_DIAN_COMPARISON,CDR,CSF_CDRSB_BL,CSF_CDRSB_BL,,,,,,,,
