file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,population
Key ADNI tables merged into one table,ADNIMERGE,ID,RID,RID,,<class 'numpy.int64'>,None,"7088.0, 2.0",11135.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Cohort,COLPROT,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3",None,11135.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,visit,VISCODE,VISCODE,,<class 'str'>,"bl, m06, m36, m60, m72",None,11135.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2005-09-08, 2006-03-06, 2008-08-27, 2010-09-22, 2011-09-19",None,11135.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Age,AGE,AGE,,<class 'numpy.float64'>,None,"97.8, 55.0",11129.0,6.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Education,PTEDUCAT,EDUCAT,,<class 'numpy.int64'>,None,"20.0, 4.0",11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,APOE,APOE4,APOE_4,,<class 'numpy.float64'>,"0.0, 1.0, 2.0, nan","2.0, 0.0",10990.0,145.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,CDR,CDRSB,CDRSB,,<class 'numpy.float64'>,None,"18.0, 0.0",10986.0,149.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,ADAS,ADAS11,ADAS11,,<class 'numpy.float64'>,None,"70.0, 0.0",11036.0,99.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,ADAS,ADAS13,ADAS13,,<class 'numpy.float64'>,None,"85.0, 0.0",10937.0,198.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,MMSE,MMSE,MMSE,,<class 'numpy.float64'>,None,"30.0, 0.0",11067.0,68.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,RAVLT ,RAVLT_immediate,RAVLT_immediate,,<class 'numpy.float64'>,None,"75.0, 0.0",10951.0,184.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,FAQ,FAQ,FAQ,,<class 'numpy.float64'>,None,"30.0, 0.0",10975.0,160.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,FSVERSION,FSVERSION,,<class 'numpy.float64'>,"4.3, nan, 5.1, 6.0","6.0, 4.3",9036.0,2099.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,IMAGEUID,IMAGEUID,,<class 'numpy.float64'>,None,"1644018.0, 31863.0",9036.0,2099.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,Ventricles,Ventricles,,<class 'numpy.float64'>,None,"162729.0, 5650.0",8458.0,2677.0,ADNI4,keep,predittore,volume,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,Hippocampus,Hippocampus,,<class 'numpy.float64'>,None,"11207.0, 2219.0",7874.0,3261.0,ADNI4,keep,predittore,volume,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,Entorhinal,Entorhinal,,<class 'numpy.float64'>,None,"7062.0, 976.0",7488.0,3647.0,ADNI4,keep,predittore,volume,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,Fusiform,Fusiform,,<class 'numpy.float64'>,None,"29950.0, 7739.0",7488.0,3647.0,ADNI4,keep,predittore,volume,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,MidTemp,MidTemp,,<class 'numpy.float64'>,None,"32324.0, 8044.0",7488.0,3647.0,ADNI4,keep,predittore,volume,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,ICV,ICV,,<class 'numpy.float64'>,None,"3500150.0, 716133.0",9023.0,2112.0,ADNI4,keep,predittore,volume,,,
Key ADNI tables merged into one table,ADNIMERGE,Other,update_stamp,update_stamp,,<class 'str'>,"2023-07-07 04:59:40.0, 2023-07-07 04:59:41.0, 2023-07-07 05:00:02.0, 2023-07-09 05:25:35.0, 2023-08-18 05:00:20.0",None,11135.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,,,VISIT_MONTH,,<class 'numpy.int64'>,None,"204.0, 0.0",11135.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,,,AGE_bl,,<class 'numpy.float64'>,None,"91.4, 55.0",11129.0,6.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Sex,['PTGENDER'],GENDER/female,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Sex,['PTGENDER'],GENDER/male,,<class 'numpy.bool'>,"True, False",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/divorced,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/married,,<class 'numpy.bool'>,"True, False",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/single,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/widowed,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTETHCAT'],ETHNICITY/latino,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTETHCAT'],ETHNICITY/not_latino,,<class 'numpy.bool'>,"True, False",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Asian,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Black,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Mixed,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Native_american,,<class 'numpy.bool'>,"False, True",None,11135.0,0.0,ADNI4,keep,cofattore,,,,
