file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione
Key ADNI tables merged into one table,ADNIMERGE,ID,PTID,PTID,,,,,,,,keep,,
Key ADNI tables merged into one table,ADNIMERGE,ID,RID,RID,,,,,,,,keep,,
Key ADNI tables merged into one table,ADNIMERGE,Cohort,COLPROT,COHORT,,,,,,,,keep,,
Key ADNI tables merged into one table,ADNIMERGE,visit,EXAMDATE,EXAMDATE,,,,,,,,keep,,
Key ADNI tables merged into one table,ADNIMERGE,Age,AGE,AGE,,,,,,,,keep,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,Education,PTEDUCAT,EDUCAT,,,,,,,,keep,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,APOE,APOE4,APOE4,,,,,,,,keep,cofattore,
Key ADNI tables merged into one table,ADNIMERGE,CDR,CDRSB,CDRSB,,,,,,,,keep,predittore,scala
Key ADNI tables merged into one table,ADNIMERGE,ADAS,ADAS11,ADAS11,,,,,,,,keep,predittore,scala
Key ADNI tables merged into one table,ADNIMERGE,ADAS,ADAS13,ADAS13,,,,,,,,keep,predittore,scala
Key ADNI tables merged into one table,ADNIMERGE,MMSE,MMSE,MMSE,,,,,,,,keep,predittore,scala
Key ADNI tables merged into one table,ADNIMERGE,RAVLT ,RAVLT_immediate,RAVLT_immediate,,,,,,,,keep,predittore,scala
Key ADNI tables merged into one table,ADNIMERGE,FAQ,FAQ,FAQ,,,,,,,,keep,predittore,scala
Key ADNI tables merged into one table,ADNIMERGE,Volume,Ventricles,Ventricles,,,,,,,,keep,predittore,volume
Key ADNI tables merged into one table,ADNIMERGE,Volume,Hippocampus,Hippocampus,,,,,,,,keep,predittore,volume
Key ADNI tables merged into one table,ADNIMERGE,Volume,Entorhinal,Entorhinal,,,,,,,,keep,predittore,volume
Key ADNI tables merged into one table,ADNIMERGE,Volume,Fusiform,Fusiform,,,,,,,,keep,predittore,volume
Key ADNI tables merged into one table,ADNIMERGE,Volume,MidTemp,MidTemp,,,,,,,,keep,,volume
