file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,BAIPETNMRCFTP,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2018-04-24, 2019-04-23, 2018-02-20, 2019-01-10, 2019-12-03",None,651.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Amyloid,ENTORHINAL_SUVR,ENTORHINAL_SUVR,,<class 'numpy.float64'>,None,"2.107, 0.8773",651.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,
,BAIPETNMRCFTP,Tau,TAU_METAROI,TAU_METAROI,,<class 'numpy.float64'>,None,"2.6106, 0.9625",651.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,
,BAIPETNMRCFTP,Amyloid,INFERIOR_TEMPORAL_SUVR,INFERIOR_TEMPORAL_SUVR,,<class 'numpy.float64'>,None,"2.6174, 0.9623",651.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,
,BAIPETNMRCFTP,ID,RID,RID,,<class 'numpy.int64'>,None,"6854.0, 31.0",651.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Visit,VISCODE2,VISCODE,,<class 'str'>,"m150, m162, m144, m156, m168",None,651.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Cohort,COLPROT,COHORT,,<class 'str'>,"ADNI3, ADNI2, nan",None,648.0,3.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,,,VISIT_MONTH,,<class 'numpy.int64'>,None,"67.0, 0.0",651.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,,,METHOD,,<class 'str'>,ftp,None,651.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,,,Tpositive,,<class 'numpy.int64'>,"0, 1","1.0, 0.0",651.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,AMPRION_ASYN_SAA,ID,RID,RID,,None,None,None,0.0,0.0,pop not found,drop,,,,
,AMPRION_ASYN_SAA,Visit,EXAMDATE,EXAMDATE,,None,None,None,0.0,0.0,pop not found,drop,,,,
,AMPRION_ASYN_SAA,Visit,VISCODE2,VISCODE,,None,None,None,0.0,0.0,pop not found,drop,,,,
,AMPRION_ASYN_SAA,Test,Result,Amprion_Result,,None,None,None,0.0,0.0,pop not found,drop,predittore,binaria,,
,AMPRION_ASYN_SAA,,,VISIT_MONTH,,None,None,None,0.0,0.0,pop not found,drop,,,,
,AMPRION_ASYN_SAA,,,METHOD,,None,None,None,0.0,0.0,pop not found,drop,,,,
,AMPRION_ASYN_SAA,,,Npositive,,None,None,None,0.0,0.0,pop not found,drop,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,RID,RID,,<class 'numpy.int64'>,"1427, 4399, 4598, 4604, 4654, 4723, 4765, 4868, 4928","4928.0, 1427.0",18.0,0.0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,VISCODE2,VISCODE,,<class 'str'>,"m108, m120, m48, m72, m60",None,18.0,0.0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,EXAMDATE,EXAMDATE,,<class 'str'>,"2016-08-12, 2017-09-06, 2016-01-07, 2017-07-13, 2016-03-22",None,18.0,0.0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,NF_LIGHT,NFL_PL,,<class 'numpy.float64'>,None,"58.7, 14.5",18.0,0.0,pop not found,keep,predittore,intervallo,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,ABETA42,AB42_PL,,<class 'numpy.float64'>,None,"9.6, 5.4",18.0,0.0,pop not found,keep,predittore,intervallo,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,ABETA40,AB40_PL,,<class 'numpy.float64'>,None,"291.4, 103.1",18.0,0.0,pop not found,keep,predittore,intervallo,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,GFAP,GFAP,,<class 'numpy.float64'>,None,"339.2, 60.2",18.0,0.0,pop not found,keep,predittore,intervallo,,
