file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,subj_tot,subj_multiple_visits,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,population
Key ADNI tables merged into one table,ADNIMERGE,ID,RID,RID,,<class 'numpy.int64'>,None,"7123.0, 2.0",2409.0,2086.0,11458.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Cohort,COLPROT,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,visit,VISCODE,VISCODE,,<class 'str'>,"bl, m06, m36, m60, m72",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2005-09-08, 2006-03-06, 2008-08-27, 2010-09-22, 2011-09-19",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Age,AGE,AGE,,<class 'numpy.float64'>,None,"97.8, 50.4",2405.0,2083.0,11451.0,7.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Education,PTEDUCAT,EDUCAT,,<class 'numpy.int64'>,None,"20.0, 4.0",2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,APOE,APOE4,APOE_4,,<class 'numpy.float64'>,"0.0, 1.0, 2.0, nan","2.0, 0.0",2208.0,2022.0,11176.0,282.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,CDR,CDRSB,CDRSB,,<class 'numpy.float64'>,None,"18.0, 0.0",2409.0,2080.0,11309.0,149.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,ADAS,ADAS11,ADAS11,,<class 'numpy.float64'>,None,"70.0, 0.0",2406.0,2080.0,11356.0,102.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,ADAS,ADAS13,ADAS13,,<class 'numpy.float64'>,None,"85.0, 0.0",2406.0,2075.0,11257.0,201.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,MMSE,MMSE,MMSE,,<class 'numpy.float64'>,None,"30.0, 0.0",2408.0,2083.0,11389.0,69.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,RAVLT ,RAVLT_immediate,RAVLT_immediate,,<class 'numpy.float64'>,None,"75.0, 0.0",2407.0,2070.0,11273.0,185.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,FAQ,FAQ,FAQ,,<class 'numpy.float64'>,None,"30.0, 0.0",2397.0,2070.0,11289.0,169.0,ADNI4,keep,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,MOCA,MOCA,MOCA,,<class 'numpy.float64'>,None,"30.0, 0.0",1869.0,1508.0,7355.0,4103.0,"ADNI1, ADNI4",drop,predittore,scala,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,FLDSTRENG,FLDSTRENG,,<class 'str'>,"1.5T, nan, 3T",None,1714.0,1559.0,6995.0,4463.0,"ADNI3, ADNI4",drop,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,FSVERSION,FSVERSION,,<class 'numpy.float64'>,"4.3, nan, 5.1, 6.0","6.0, 4.3",2350.0,1932.0,9321.0,2137.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,IMAGEUID,IMAGEUID,,<class 'numpy.float64'>,None,"1644018.0, 31863.0",2350.0,1932.0,9321.0,2137.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Other,update_stamp,update_stamp,,<class 'str'>,"2023-07-07 04:59:40.0, 2023-07-07 04:59:41.0, 2023-07-07 05:00:02.0, 2023-07-09 05:25:35.0, 2023-08-18 05:00:20.0",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,,,VISIT_MONTH,,<class 'numpy.int64'>,None,"204.0, 0.0",2409.0,2086.0,11458.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,,,AGE_bl,,<class 'numpy.float64'>,None,"91.4, 50.4",2405.0,2083.0,11451.0,7.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Sex,['PTGENDER'],GENDER/female,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Sex,['PTGENDER'],GENDER/male,,<class 'numpy.bool'>,"True, False",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/divorced,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/married,,<class 'numpy.bool'>,"True, False",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/single,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Marry,['PTMARRY'],MARRY/widowed,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTETHCAT'],ETHNICITY/latino,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTETHCAT'],ETHNICITY/not_latino,,<class 'numpy.bool'>,"True, False",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Asian,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Black,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Mixed,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/Native_american,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,['PTRACCAT'],RACE/White,,<class 'numpy.bool'>,"True, False",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,cofattore,,,,
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,['DX'],DX/CN,,<class 'numpy.bool'>,"True, False",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,['DX'],DX/Dementia,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Diagnosi,['DX'],DX/MCI,,<class 'numpy.bool'>,"False, True",None,2409.0,2086.0,11458.0,0.0,ADNI4,keep,,,,,
Key ADNI tables merged into one table,ADNIMERGE,Volume,['Ventricles'],Ventricles%ICV,,<class 'numpy.float64'>,None,"9.03233686737906, 0.4502658931592941",2318.0,1872.0,8727.0,2731.0,ADNI4,keep,predittore,volume,,,
