file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,subj_tot,subj_multiple_visits
,BAIPETNMRCFTP,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2018-02-02, 2018-04-24, 2019-04-23, 2018-02-20, 2019-01-10",None,1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,,772.0,266.0
,BAIPETNMRCFTP,Amyloid,ENTORHINAL_SUVR,ENTORHINAL_SUVR,,<class 'numpy.float64'>,None,"2.4264, 0.7951",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,,772.0,266.0
,BAIPETNMRCFTP,Tau,TAU_METAROI,TAU_METAROI,,<class 'numpy.float64'>,None,"2.8179, 0.902",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,intervallo,,,772.0,266.0
,BAIPETNMRCFTP,Amyloid,INFERIOR_TEMPORAL_SUVR,INFERIOR_TEMPORAL_SUVR,,<class 'numpy.float64'>,None,"2.6767, 0.9373",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,,772.0,266.0
,BAIPETNMRCFTP,ID,RID,RID,,<class 'numpy.int64'>,None,"6901.0, 21.0",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,,772.0,266.0
,BAIPETNMRCFTP,Visit,VISCODE2,VISCODE,,<class 'str'>,"m144, m150, m162, m156, m168",None,1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,,772.0,266.0
,BAIPETNMRCFTP,Cohort,COLPROT,COHORT,,<class 'str'>,"ADNI3, ADNI2, nan",None,1152.0,5.0,"ADNI1, ADNIGO, ADNI4",keep,,,,,770.0,264.0
,BAIPETNMRCFTP,,,VISIT_MONTH,,<class 'numpy.int64'>,None,"67.0, 0.0",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,,772.0,266.0
,BAIPETNMRCFTP,,,METHOD,,<class 'str'>,ftp,None,1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,,772.0,266.0
,BAIPETNMRCFTP,,,Tpositive,,<class 'numpy.int64'>,"0, 1","1.0, 0.0",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,,772.0,266.0
,AMPRION_ASYN_SAA,ID,RID,RID,,<class 'numpy.int64'>,None,"7089.0, 3.0",1638.0,0.0,pop not found,keep,,,,,1638.0,0.0
,AMPRION_ASYN_SAA,Visit,EXAMDATE,EXAMDATE,,<class 'str'>,"2013-09-09, 2012-12-12, 2012-02-02, 2011-10-10, 2011-07-07",None,1638.0,0.0,pop not found,keep,,,,,1638.0,0.0
