file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,BAIPETNMRCFTP,Visit,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,,,1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Amyloid,ENTORHINAL_SUVR,ENTORHINAL_SUVR,,<class 'numpy.float64'>,,"2.4264, 0.7951",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,
,BAIPETNMRCFTP,Tau,TAU_METAROI,TAU_METAROI,,<class 'numpy.float64'>,,"2.8179, 0.902",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,
,BAIPETNMRCFTP,Amyloid,INFERIOR_TEMPORAL_SUVR,INFERIOR_TEMPORAL_SUVR,,<class 'numpy.float64'>,,"2.6767, 0.9373",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,
,BAIPETNMRCFTP,ID,RID,RID,,<class 'numpy.int64'>,,"6901.0, 21.0",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Visit,VISCODE2,VISCODE,,<class 'str'>,"m144, m150, m162, m156, m168",,1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Cohort,COLPROT,COHORT,,<class 'str'>,"ADNI3, ADNI2, nan",,1152.0,5.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,,,VISIT_MONTH,,<class 'numpy.int64'>,,"67.0, 0.0",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,,,METHOD,,<class 'str'>,ftp,,1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,,,Tpositive,,<class 'numpy.int64'>,"0, 1","1.0, 0.0",1157.0,0.0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,,,VISIT_MONTH,,,,,,,,,,,,
,BAIPETNMRCFTP,,,METHOD,,,,,,,,,,,,
,BAIPETNMRCFTP,,,VISIT_MONTH,,,,,,,,,,,,
,BAIPETNMRCFTP,,,METHOD,,,,,,,,,,,,
