file_name,file_code,parameter,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del
Key ADNI tables merged into one table,ADNIMERGE,ID,PTID,<class 'str'>,"011_S_0002, 011_S_0003, 022_S_0004, 011_S_0005, 100_S_0006",,16421.0,0.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,ID,RID,<class 'numpy.int64'>,,"7125.0, 2.0",16421.0,0.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,Cohort,COLPROT,<class 'str'>,"ADNI1, ADNI2, ADNIGO, ADNI3",,16421.0,0.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,visit,VISCODE,<class 'str'>,"bl, m06, m12, m24, m18",,16421.0,0.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,visit,EXAMDATE,<class 'str'>,"2005-09-08, 2005-09-12, 2006-03-13, 2006-09-12, 2007-09-12",,16421.0,0.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,Age,AGE,<class 'numpy.float64'>,,"91.4, 50.4",16412.0,9.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,Sex,PTGENDER,<class 'str'>,"Male, Female",,16421.0,0.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,Education,PTEDUCAT,<class 'numpy.int64'>,,"20.0, 4.0",16421.0,0.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,PTETHCAT,<class 'str'>,"Not Hisp/Latino, Hisp/Latino, Unknown",,16421.0,0.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,Ethnicity,PTRACCAT,<class 'str'>,"White, More than one, Black, Asian, Am Indian/Alaskan, Unknown, Hawaiian/Other PI",,16421.0,0.0,ADNI4,0.0
Key ADNI tables merged into one table,ADNIMERGE,Marry,PTMARRY,<class 'str'>,"Married, Divorced, Widowed, Never married, Unknown, nan",,16420.0,1.0,ADNI4,0.0
