file_name,file_code,parameter,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,BAIPETNMRCFTP,Visit,EXAMDATE,,<class 'str'>,"2018-02-02, 2019-04-23, 2018-04-24, 2019-01-10, 2018-02-20",None,1157,0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Amyloid,ENTORHINAL_SUVR,,<class 'numpy.float64'>,None,"2.4264, 0.7951",1157,0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,
,BAIPETNMRCFTP,Tau,TAU_METAROI,,<class 'numpy.float64'>,None,"2.8179, 0.902",1157,0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,
,BAIPETNMRCFTP,Amyloid,INFERIOR_TEMPORAL_SUVR,,<class 'numpy.float64'>,None,"2.6767, 0.9373",1157,0,"ADNI1, ADNIGO, ADNI4",keep,predittore,intervallo,,
,BAIPETNMRCFTP,ID,RID,,<class 'numpy.int64'>,None,"6901.0, 21.0",1157,0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Visit,VISCODE2,,<class 'str'>,"m144, m162, m150, m156, m168",None,1157,0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Cohort,COLPROT,,<class 'str'>,"ADNI3, ADNI2, nan",None,1152,5,"ADNI1, ADNIGO, ADNI4",keep,,,,
,BAIPETNMRCFTP,Visit,MODALITY,,<class 'str'>,Flortaucipir,None,1157,0,"ADNI1, ADNIGO, ADNI4",keep,,,,
,AMPRION_ASYN_SAA,ID,RID,,<class 'numpy.int64'>,None,"7089.0, 3.0",1658,0,pop not found,keep,,,,
,AMPRION_ASYN_SAA,Visit,EXAMDATE,,<class 'str'>,"2013-09-09, 2012-12-12, 2012-02-02, 2011-10-10, 2011-07-07",None,1658,0,pop not found,keep,,,,
,AMPRION_ASYN_SAA,Visit,VISCODE2,,<class 'str'>,"bl, m12, m48, m30, m24",None,1658,0,pop not found,keep,,,,
,AMPRION_ASYN_SAA,Test,Result,,<class 'str'>,"Detected-1, Not_Detected, Detected-2, Indeterminate",None,1658,0,pop not found,keep,predittore,binaria,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,RID,,<class 'numpy.int64'>,None,"5263.0, 31.0",130,0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,VISCODE2,,<class 'str'>,"m120, m132, m108, m72, m84, m60, m48, m24",None,130,0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,EXAMDATE,,<class 'str'>,"2016-01-27, 2016-02-18, 2016-03-16, 2016-03-29, 2017-04-12",None,130,0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,NF_LIGHT,,<class 'numpy.float64'>,None,"114.3, 10.4",130,0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,ABETA42,,<class 'numpy.float64'>,None,"12.2, 4.1",130,0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,ABETA40,,<class 'numpy.float64'>,None,"333.1, 87.6",130,0,pop not found,keep,,,,
,PLASMA_ABETA_PROJECT_ADX_VUMC,,GFAP,,<class 'numpy.float64'>,None,"548.5, 41.5",130,0,pop not found,keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,Cohort,PROT,,<class 'str'>,"ADNI1, ADNI2, ADNIGO",None,650,0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,RID,,<class 'numpy.int64'>,None,"5263.0, 31.0",650,0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,VISCODE2,,<class 'str'>,"m120, m48, m60, m72, m126",None,650,0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,EXAMDATE,,<class 'str'>,"2016-01-27, 2016-01-19, 2016-02-04, 2016-03-16, 2016-03-03",None,650,0,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,PTAU_181,,<class 'numpy.float64'>,None,"98.6, 0.373",518,132,"ADNI3, ADNI4",keep,,,,
,FNIH_PLASMA_PTAU_PROJECT,,IMMUNOASSAY,,<class 'str'>,"pTau181 Simoa, Lumipulse G pTau 181 Plasma, Simoa pTau 181V2 Advantage, Roche Elecsys plasma Phospho-Tau(181P), pTau231 Simoa",None,650,0,"ADNI3, ADNI4",keep,,,,
,CSFALPHASYN,,RID,,<class 'numpy.int64'>,None,"1423.0, 3.0",389,0,pop not found,keep,,,,
,CSFALPHASYN,,EXAMDATE,,<class 'str'>,"2005-09-12, 2005-11-22, 2005-09-07, 2005-09-19, 2005-11-10",None,389,0,pop not found,keep,,,,
,CSFALPHASYN,,PROTOCOL,,<class 'str'>,ADNI 1,None,389,0,pop not found,keep,,,,
,CSFALPHASYN,,ALPHA_SYN,luminex,<class 'numpy.float64'>,None,"12.24, 0.1",389,0,pop not found,keep,,,,
,BLENNOWCSFNFL,,RID,,<class 'numpy.int64'>,None,"1423.0, 3.0",415,0,pop not found,keep,,,,
,BLENNOWCSFNFL,,VISCODE,,<class 'str'>,bl,None,415,0,pop not found,keep,,,,
,BLENNOWCSFNFL,,EXAMDATE,,<class 'str'>,"2005-09-12, 2005-11-08, 2005-09-07, 2005-09-19, 2005-11-10",None,415,0,pop not found,keep,,,,
,BLENNOWCSFNFL,,CSFNFL,,<class 'numpy.int64'>,None,"12647.0, 405.0",415,0,pop not found,keep,,,,
,BLENNOWCSFNFL,,COMMENTS,,<class 'str'>,"nan, reddish CSF, samples received thawed",None,9,406,pop not found,drop,,,,
,BLENNOWPLASMANFL,,RID,,<class 'numpy.int64'>,None,"999999.0, 2.0",598,0,pop not found,keep,,,,
,BLENNOWPLASMANFL,,VISCODE2,,<class 'str'>,"bl, nan, sc",None,581,17,pop not found,keep,,,,
,BLENNOWPLASMANFL,,EXAMDATE,,<class 'str'>,"2005-09-08, 2005-09-12, 2005-11-08, 2005-09-07, 2005-11-29",None,581,17,pop not found,keep,,,,
,BLENNOWPLASMANFL,,PLASMA_NFL,,<class 'numpy.float64'>,None,"250.8, 5.2",594,4,pop not found,keep,,,,
,BLENNOWPLASMATAU,,RID,,<class 'numpy.int64'>,None,"1435.0, 2.0",581,0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,VISCODE,,<class 'str'>,bl,None,581,0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,EXAMDATE,,<class 'str'>,"2005-09-08, 2005-09-12, 2005-11-08, 2005-09-07, 2005-11-29",None,581,0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,PLASMATAU,,<class 'numpy.float64'>,None,"17.55, 0.08",575,6,pop not found,keep,,,,
,C2N_PRECIVITYAD2_PLASMA,Cohort,PHASE,,<class 'str'>,ADNI4,None,676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,RID,,<class 'numpy.int64'>,None,"10470.0, 21.0",676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,VISCODE2,,<class 'str'>,"m216, m210, m204, m162, m150",None,676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,EXAMDATE,,<class 'str'>,"2024-04-01, 2023-11-29, 2023-10-23, 2024-01-10, 2024-01-29",None,676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,pT217_C2N,,<class 'numpy.float64'>,None,"19.358, -4.0",676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,npT217_C2N,,<class 'numpy.float64'>,None,"186.402, -4.0",676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,AB42_C2N,,<class 'numpy.float64'>,None,"108.247, -4.0",676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,AB40_C2N,,<class 'numpy.float64'>,None,"1072.476, -4.0",676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,AB42_AB40_C2N,,<class 'numpy.float64'>,None,"0.694, -4.0",676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,pT217_npT217_C2N,,<class 'numpy.float64'>,None,"27.76, -4.0",676,0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,APOE_C2N,,<class 'str'>,"E3/E3, E3/E4, E2/E3, E4/E4, E2/E4, E2/E2, nan",None,675,1,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,Comments,,<class 'str'>,"nan, p-tau217 LOD, Sample Corrected for Dilution p-tau, p-tau217 LOD; Contaminant present Abeta, p-tau217 LOD; Sample Corrected for Dilution p-tau",None,439,237,"ADNI1, ADNIGO, ADNI2, ADNI3",drop,,,,
,UGOTPTAU181,,RID,,<class 'numpy.int64'>,None,"5296.0, 2.0",3758,0,pop not found,keep,,,,
,UGOTPTAU181,,VISCODE2,,<class 'str'>,"m60, m72, m84, m96, m108",None,3758,0,pop not found,keep,,,,
,UGOTPTAU181,,EXAMDATE,,<class 'str'>,"2010-09-22, 2011-09-19, 2012-09-26, 2013-09-09, 2010-09-27",None,3758,0,pop not found,keep,,,,
,UGOTPTAU181,,PLASMAPTAU181,,<class 'numpy.float64'>,None,"451.398, 0.362",3758,0,pop not found,keep,,,,
,UPENNPLASMA,,RID,,<class 'numpy.int64'>,None,"1427.0, 2.0",2453,0,pop not found,keep,,,,
,UPENNPLASMA,,VISCODE,,<class 'str'>,"bl, m12, m24, m36, m48, m06, m18",None,2453,0,pop not found,keep,,,,
,UPENNPLASMA,,AB40,,<class 'numpy.float64'>,None,"371.8, 12.6",2420,33,pop not found,keep,,,,
,UPENNPLASMA,,AB42,,<class 'numpy.float64'>,None,"102.8, 3.5",2429,24,pop not found,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,Cohort,PHASE,,<class 'str'>,"ADNI1, ADNI2, ADNI4, ADNI3, ADNIGO",None,1728,0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,RID,,<class 'numpy.int64'>,None,"10470.0, 2.0",1728,0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,VISCODE2,,<class 'str'>,"bl, m120, m24, m48, m96",None,1726,2,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,EXAMDATE,,<class 'str'>,"2005-09-08, 2005-09-19, 2015-10-29, 2005-11-10, 2007-11-07",None,1728,0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,pT217_F,,<class 'numpy.float64'>,None,"5.555, 0.03",1728,0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,AB42_F,,<class 'numpy.float64'>,None,"1000.0, -4.0",1728,0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,AB40_F,,<class 'numpy.float64'>,None,"5000.0, -4.0",1728,0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,AB42_AB40_F,,<class 'numpy.float64'>,None,"0.6631, -4.0",1728,0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,pT217_AB42_F,,<class 'numpy.float64'>,None,"0.215060008, -4.0",1728,0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,NfL_Q,,<class 'numpy.float64'>,None,"278.0, -5.0",1728,0,,keep,,,,
,UPENN_PLASMA_FUJIREBIO_QUANTERIX,,GFAP_Q,,<class 'numpy.float64'>,None,"1783.0, -5.0",1728,0,,keep,,,,
