file_code,filename,FSVERSION,METHOD_CSF,METHOD_PET,n_righe,n_colonne,n_soggetti,visite_min,visite_max,visite_media,visite_mediana,visite_std,visite_q25,visite_q75,date_min,date_max,nan_medio_pct,nan_max_pct,colonne_complete,colonne_con_nan
FINALMERGE_FSVERSION_4-3_METHOD_CSF_elecsys_METHOD_PET_FBB,merge_FSVERSION_4-3_METHOD_CSF_elecsys_METHOD_PET_FBB.csv,4.3,elecsys,FBB,17672,72,5000,1,22,3.53,2.0,3.39,1.0,5.0,2005-01-14,2027-06-17,51.73,97.48,1,71
FINALMERGE_FSVERSION_4-3_METHOD_CSF_lumipulse_METHOD_PET_FBB,merge_FSVERSION_4-3_METHOD_CSF_lumipulse_METHOD_PET_FBB.csv,4.3,lumipulse,FBB,17580,72,5000,1,22,3.52,2.0,3.36,1.0,5.0,2005-01-14,2027-06-17,53.11,100.0,1,71
FINALMERGE_FSVERSION_4-3_METHOD_CSF_elecsys_METHOD_PET_FBP,merge_FSVERSION_4-3_METHOD_CSF_elecsys_METHOD_PET_FBP.csv,4.3,elecsys,FBP,17791,72,5000,1,23,3.56,2.0,3.44,1.0,5.0,2005-01-14,2027-06-17,50.66,97.49,1,71
FINALMERGE_FSVERSION_4-3_METHOD_CSF_lumipulse_METHOD_PET_FBP,merge_FSVERSION_4-3_METHOD_CSF_lumipulse_METHOD_PET_FBP.csv,4.3,lumipulse,FBP,17712,72,5000,1,23,3.54,2.0,3.42,1.0,5.0,2005-01-14,2027-06-17,52.05,100.0,1,71
FINALMERGE_FSVERSION_4-4_METHOD_CSF_elecsys_METHOD_PET_FBB,merge_FSVERSION_4-4_METHOD_CSF_elecsys_METHOD_PET_FBB.csv,4.4,elecsys,FBB,17665,72,5000,1,22,3.53,2.0,3.39,1.0,5.0,2005-01-14,2027-06-17,51.87,96.54,1,71
FINALMERGE_FSVERSION_4-4_METHOD_CSF_lumipulse_METHOD_PET_FBB,merge_FSVERSION_4-4_METHOD_CSF_lumipulse_METHOD_PET_FBB.csv,4.4,lumipulse,FBB,17559,72,5000,1,22,3.51,2.0,3.36,1.0,5.0,2005-01-14,2027-06-17,53.22,100.0,1,71
FINALMERGE_FSVERSION_4-4_METHOD_CSF_elecsys_METHOD_PET_FBP,merge_FSVERSION_4-4_METHOD_CSF_elecsys_METHOD_PET_FBP.csv,4.4,elecsys,FBP,17779,72,5000,1,23,3.56,2.0,3.43,1.0,5.0,2005-01-14,2027-06-17,50.78,94.77,1,71
FINALMERGE_FSVERSION_4-4_METHOD_CSF_lumipulse_METHOD_PET_FBP,merge_FSVERSION_4-4_METHOD_CSF_lumipulse_METHOD_PET_FBP.csv,4.4,lumipulse,FBP,17685,72,5000,1,23,3.54,2.0,3.41,1.0,5.0,2005-01-14,2027-06-17,52.14,100.0,1,71
FINALMERGE_FSVERSION_5-1_METHOD_CSF_elecsys_METHOD_PET_FBB,merge_FSVERSION_5-1_METHOD_CSF_elecsys_METHOD_PET_FBB.csv,5.1,elecsys,FBB,18437,72,5000,1,22,3.69,2.0,3.54,1.0,5.0,2005-01-14,2027-06-17,52.95,96.68,1,71
FINALMERGE_FSVERSION_5-1_METHOD_CSF_lumipulse_METHOD_PET_FBB,merge_FSVERSION_5-1_METHOD_CSF_lumipulse_METHOD_PET_FBB.csv,5.1,lumipulse,FBB,18340,72,5000,1,22,3.67,2.0,3.51,1.0,5.0,2005-01-14,2027-06-17,54.26,100.0,1,71
FINALMERGE_FSVERSION_5-1_METHOD_CSF_elecsys_METHOD_PET_FBP,merge_FSVERSION_5-1_METHOD_CSF_elecsys_METHOD_PET_FBP.csv,5.1,elecsys,FBP,18557,72,5000,1,23,3.71,2.0,3.59,1.0,5.0,2005-01-14,2027-06-17,51.91,94.99,1,71
