file_name,file_code,parameter,orig_variable_code,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unità,Unnamed: 4
Key ADNI tables merged into one table,ADNIMERGE,ID,PTID,PTID,<class 'str'>,"011_S_0002, 011_S_0003, 022_S_0004, 011_S_0005, 100_S_0006",,11135.0,0.0,ADNI4,False,,,,
Key ADNI tables merged into one table,ADNIMERGE,ID,RID,RID,<class 'numpy.int64'>,,"7088.0, 2.0",11135.0,0.0,ADNI4,False,,,,
Key ADNI tables merged into one table,ADNIMERGE,Cohort,COLPROT,COHORT,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3",,11135.0,0.0,ADNI4,False,,,,
Key ADNI tables merged into one table,ADNIMERGE,visit,EXAMDATE,EXAMDATE,<class 'str'>,"2005-09-08, 2006-03-06, 2008-08-27, 2010-09-22, 2011-09-19",,11135.0,0.0,ADNI4,False,,,,
Key ADNI tables merged into one table,ADNIMERGE,Age,AGE,AGE,<class 'numpy.float64'>,,"97.8, 55.0",11129.0,6.0,ADNI4,False,,,,
Key ADNI tables merged into one table,ADNIMERGE,Education,PTEDUCAT,EDUCAT,<class 'numpy.int64'>,,"20.0, 4.0",11135.0,0.0,ADNI4,False,cofattori,,,
Key ADNI tables merged into one table,ADNIMERGE,APOE,APOE4,APOE4,<class 'numpy.float64'>,"0.0, 1.0, 2.0, nan","2.0, 0.0",10990.0,145.0,ADNI4,False,cofattori,,,
Key ADNI tables merged into one table,ADNIMERGE,CDR,CDRSB,CDRSB,<class 'numpy.float64'>,,"18.0, 0.0",10986.0,149.0,ADNI4,False,predittori,norm_scala,,
Key ADNI tables merged into one table,ADNIMERGE,ADAS,ADAS11,ADAS11,<class 'numpy.float64'>,,"70.0, 0.0",11036.0,99.0,ADNI4,False,predittori,norm_scala,,
Key ADNI tables merged into one table,ADNIMERGE,ADAS,ADAS13,ADAS13,<class 'numpy.float64'>,,"85.0, 0.0",10937.0,198.0,ADNI4,False,predittori,norm_scala,,
Key ADNI tables merged into one table,ADNIMERGE,MMSE,MMSE,MMSE,<class 'numpy.float64'>,,"30.0, 0.0",11067.0,68.0,ADNI4,False,predittori,norm_scala,,
Key ADNI tables merged into one table,ADNIMERGE,RAVLT ,RAVLT_immediate,RAVLT_immediate,<class 'numpy.float64'>,,"75.0, 0.0",10951.0,184.0,ADNI4,False,predittori,norm_scala,,
Key ADNI tables merged into one table,ADNIMERGE,FAQ,FAQ,FAQ,<class 'numpy.float64'>,,"30.0, 0.0",10975.0,160.0,ADNI4,False,predittori,norm_scala,,
